Session	Date	Start Time	End Time	Location	Section Title	Presentation Order	Session Name 	Session ID on Underline	PID	Title	Author	Length	Category	Oral (pref)
Session 4	2023-12-08	16:15	16:30	West 3	Dialogue and Interactive Systems 2	2	Dialogue and Interactive Systems 2		4020	An Integrative Survey on Mental Health Conversational Agents to Bridge Computer Science and Medical Perspectives	"Young Min Cho,Sunny Rai,Lyle Ungar,João Sedoc,Sharath Chandra Guntuku"	Long	Oral 	In Person
Session 4	2023-12-08	16:30	16:45	West 3	Dialogue and Interactive Systems 2	3	Dialogue and Interactive Systems 2		4137	From Multilingual Complexity to Emotional Clarity: Leveraging Commonsense to Unveil Emotions in Code-Mixed Dialogues	"Shivani Kumar,Ramaneswaran S,Md Shad Akhtar,Tanmoy Chakraborty"	Long	Oral 	In Person
Session 4	2023-12-08	16:45	17:00	West 3	Dialogue and Interactive Systems 2	4	Dialogue and Interactive Systems 2		5279	e-THERAPIST: I suggest you to cultivate a mindset of positivity and nurture uplifting thoughts	"Kshitij Mishra,Priyanshu Priya,Manisha Burja,Asif Ekbal"	Long	Oral 	In Person
Session 4	2023-12-08	17:00	17:15	West 3	Dialogue and Interactive Systems 2	5	Dialogue and Interactive Systems 2		5864	ReSee: Responding through Seeing Fine-grained Visual Knowledge in Open-domain Dialogue	"Haoqin Tu,Yitong Li,Fei Mi,Zhongliang Yang"	Long	Oral 	Virtually
Session 4	2023-12-08	17:15	17:30	West 3	Dialogue and Interactive Systems 2	6	Dialogue and Interactive Systems 2		ARR 42	PK-ICR: Persona-Knowledge Interactive Multi-Context Retrieval for Grounded Dialogue	"Minsik Oh,Joosung Lee,Jiwei Li,Guoyin Wang"	Long	Oral 	In Person
Session 5	2023-12-09	9:00	9:15	East	Multilinguality and Linguistic Diversity 1	1	Multilinguality and Linguistic Diversity 1		549	BasahaCorpus: An Expanded Linguistic Resource for Readability Assessment in Central Philippine Languages	"Joseph Marvin Imperial,Ekaterina Kochmar"	Long	Oral 	In Person
Session 5	2023-12-09	9:15	9:30	East	Multilinguality and Linguistic Diversity 1	2	Multilinguality and Linguistic Diversity 1		1078	Translating away Translationese without Parallel Data	"Rricha Jalota,Koel Dutta Chowdhury,Cristina España-Bonet,Josef van Genabith"	Long	Oral 	In Person
Session 5	2023-12-09	9:30	9:45	East	Multilinguality and Linguistic Diversity 1	3	Multilinguality and Linguistic Diversity 1		1575	Automatic Transcription of Handwritten Old Occitan Language	"Esteban Garces Arias,Vallari Pai,Matthias Schöffel,Christian Heumann,Matthias Aßenmacher"	Long	Oral 	In Person
Session 5	2023-12-09	9:45	10:00	East	Multilinguality and Linguistic Diversity 1	4	Multilinguality and Linguistic Diversity 1		1901	Don’t Trust ChatGPT when your Question is not in English: A Study of Multilingual Abilities and Types of LLMs	"Xiang Zhang,Senyu Li,Bradley Hauer,Ning Shi,Grzegorz Kondrak"	Long	Oral 	In Person
Session 5	2023-12-09	10:00	10:15	East	Multilinguality and Linguistic Diversity 1	5	Multilinguality and Linguistic Diversity 1		2090	Revisiting Machine Translation for Cross-lingual Classification	"Mikel Artetxe,Vedanuj Goswami,Shruti Bhosale,Angela Fan,Luke Zettlemoyer"	Long	Oral 	In Person
Session 5	2023-12-09	10:15	10:30	East	Multilinguality and Linguistic Diversity 1	6	Multilinguality and Linguistic Diversity 1		2295	Language Representation Projection: Can We Transfer Factual Knowledge across Languages in Multilingual Language Models?	"Shaoyang Xu,Junzhuo Li,Deyi Xiong"	Long	Oral 	Virtually
Session 5	2023-12-09	9:00	9:15	Central  1	Natural Language Generation 1	1	Natural Language Generation 1		911	Structure-aware Knowledge Graph-to-text Generation with Planning Selection and Similarity Distinction	"Feng Zhao,Hongzhi Zou,Cheng Yan"	Long	Oral 	In Person
Session 5	2023-12-09	9:15	9:30	Central  1	Natural Language Generation 1	2	Natural Language Generation 1		1463	Granularity Matters: Pathological Graph-driven Cross-modal Alignment for Brain CT Report Generation	"Yanzhao Shi,Junzhong Ji,Xiaodan Zhang,Liangqiong Qu,Ying Liu"	Long	Oral 	In Person
Session 5	2023-12-09	9:30	9:45	Central  1	Natural Language Generation 1	3	Natural Language Generation 1		2518	Improving Image Captioning via Predicting Structured Concepts	"Ting Wang,Weidong Chen,Yuanhe Tian,Yan Song,Zhendong Mao"	Long	Oral 	In Person
Session 5	2023-12-09	9:45	10:00	Central  1	Natural Language Generation 1	4	Natural Language Generation 1		4394	CodeFusion: A Pre-trained Diffusion Model for Code Generation	"Mukul Singh,José Cambronero,Sumit Gulwani,Vu Le,Carina Suzana Negreanu,Gust Verbruggen"	Long	Oral 	In Person
Session 5	2023-12-09	10:00	10:15	Central  1	Natural Language Generation 1	5	Natural Language Generation 1		5209	Look-back Decoding for Open-Ended Text Generation	"Nan Xu,Chunting Zhou,Asli Celikyilmaz,Xuezhe Ma"	Long	Oral 	Virtually
Session 5	2023-12-09	10:15	10:30	Central  1	Natural Language Generation 1	6	Natural Language Generation 1		CL 2219	Measuring Attribution in Natural Language Generation Models	"Hannah Rashkin, Vitaly Nikolaev, Matthew Lamm, Lora Aroyo, Michael Collins, Dipanjan Das, Slav Petrov, Gaurav Singh Tomar, Iulia Turc, David Reitter"	Long	Oral 	In Person
Session 5	2023-12-09	9:00	9:15	Central 3	NLP Applications 1	1	NLP Applications 1		729	Learning Co-Speech Gesture for Multimodal Aphasia Type Detection	"Daeun Lee,Sejung Son,Hyolim Jeon,Seungbae Kim,Jinyoung Han"	Long	Oral 	In Person
Session 5	2023-12-09	9:15	9:30	Central 3	NLP Applications 1	2	NLP Applications 1		1027	ClimateBERT-NetZero: Detecting and Assessing Net Zero and Reduction Targets	"Tobias Schimanski,Julia Bingler,Mathias Kraus,Camilla Hyslop,Markus Leippold"	Long	Oral 	In Person
Session 5	2023-12-09	9:30	9:45	Central 3	NLP Applications 1	3	NLP Applications 1		201	Advancements in Arabic Grammatical Error Detection and Correction: An Empirical Investigation	"Bashar Alhafni,Go Inoue,Christian Khairallah,Nizar Habash"	Long	Oral 	In Person
Session 5	2023-12-09	9:45	10:00	Central 3	NLP Applications 1	4	NLP Applications 1		1376	Detection of Multiple Mental Disorders from Social Media with Two-Stream Psychiatric Experts	"Siyuan Chen,Zhiling Zhang,Mengyue Wu,Kenny Q. Zhu"	Long	Oral 	In Person
Session 5	2023-12-09	10:00	10:15	Central 3	NLP Applications 1	5	NLP Applications 1		1614	Event-Location Tracking in Narratives: A Case Study on Holocaust Testimonies	"Eitan Wagner,Renana Keydar,Omri Abend"	Long	Oral 	In Person
Session 5	2023-12-09	10:15	10:30	Central 3	NLP Applications 1	6	NLP Applications 1		1857	Learning the Visualness of Text Using Large Vision-Language Models	"Gaurav Verma,Ryan A. Rossi,Christopher Tensmeyer,Jiuxiang Gu,Ani Nenkova"	Long	Oral 	In Person
Session 5	2023-12-09	9:00	9:15	West 1	Theme Track: Large Language Models and the Future of NLP 1	1	Theme Track: Large Language Models and the Future of NLP 1		591	Fighting Fire with Fire: The Dual Role of LLMs in Crafting and Detecting Elusive Disinformation	"Jason S Lucas,Adaku Uchendu,Michiharu Yamashita,Jooyoung Lee,Shaurya Rohatgi,Dongwon Lee"	Long	Oral 	In Person
Session 5	2023-12-09	9:15	9:30	West 1	Theme Track: Large Language Models and the Future of NLP 1	2	Theme Track: Large Language Models and the Future of NLP 1		988	Reasoning with Language Model is Planning with World Model	"Shibo Hao,Yi Gu,Haodi Ma,Joshua Jiahua Hong,Zhen Wang,Daisy Zhe Wang,Zhiting Hu"	Long	Oral 	In Person
Session 5	2023-12-09	9:30	9:45	West 1	Theme Track: Large Language Models and the Future of NLP 1	3	Theme Track: Large Language Models and the Future of NLP 1		1021	Stop Uploading Test Data in Plain Text: Practical Strategies for Mitigating Data Contamination by Evaluation Benchmarks	"Alon Jacovi,Avi Caciularu,Omer Goldman,Yoav Goldberg"	Long	Oral 	In Person
Session 5	2023-12-09	9:45	10:00	West 1	Theme Track: Large Language Models and the Future of NLP 1	4	Theme Track: Large Language Models and the Future of NLP 1		1108	Prompting is not a substitute for probability measurements in large language models	"Jennifer Hu,Roger P. Levy"	Long	Oral 	Virtually
Session 5	2023-12-09	10:00	10:15	West 1	Theme Track: Large Language Models and the Future of NLP 1	5	Theme Track: Large Language Models and the Future of NLP 1		1400	FANToM: A Benchmark for Stress-testing Machine Theory of Mind in Interactions	"Hyunwoo Kim,Melanie Sclar,Xuhui Zhou,Ronan Le Bras,Gunhee Kim,Yejin Choi,Maarten Sap"	Long	Oral 	In Person
Session 5	2023-12-09	10:15	10:30	West 1	Theme Track: Large Language Models and the Future of NLP 1	6	Theme Track: Large Language Models and the Future of NLP 1		1427	LLMLingua: Compressing Prompts for Accelerated Inference of Large Language Models	"Huiqiang Jiang,Qianhui Wu,Chin-Yew Lin,Yuqing Yang,Lili Qiu"	Long	Oral 	In Person
Session 5	2023-12-09	9:00	9:15	West 2	Efficient Methods for NLP 2	1	Efficient Methods for NLP 2		6	APrompt: Attention Prompt Tuning for Efficient Adaptation of Pre-trained Language Models	"Qifan Wang,Yuning Mao,Jingang Wang,Hanchao Yu,Shaoliang Nie,Sinong Wang,Fuli Feng,Lifu Huang,Xiaojun Quan,Zenglin Xu,Dongfang Liu"	Long	Oral 	In Person
Session 5	2023-12-09	9:15	9:30	West 2	Efficient Methods for NLP 2	2	Efficient Methods for NLP 2		531	Parameter-Efficient Language Model Tuning with Active Learning in Low-Resource Settings	"Josip Jukić,Jan Snajder"	Long	Oral 	In Person
Session 5	2023-12-09	9:30	9:45	West 2	Efficient Methods for NLP 2	3	Efficient Methods for NLP 2		1905	Merging Experts into One: Improving Computational Efficiency of Mixture of Experts	"Shwai He,Run-Ze Fan,Liang Ding,Li Shen,Tianyi Zhou,Dacheng Tao"	Long	Oral 	In Person
Session 5	2023-12-09	9:45	10:00	West 2	Efficient Methods for NLP 2	4	Efficient Methods for NLP 2		2175	Selective Labeling: How to Radically Lower Data-Labeling Costs for Document Extraction Models	"Yichao Zhou,James Bradley Wendt,Navneet Potti,Jing Xie,Sandeep Tata"	Long	Oral 	In Person
Session 5	2023-12-09	10:00	10:15	West 2	Efficient Methods for NLP 2	5	Efficient Methods for NLP 2		2192	Focus Your Attention (with Adaptive IIR Filters)	"Shahar Lutati,Itamar Zimerman,Lior Wolf"	Long	Oral 	Virtually
Session 5	2023-12-09	10:15	10:30	West 2	Efficient Methods for NLP 2	6	Efficient Methods for NLP 2		2756	Let's Sample Step by Step: Adaptive-Consistency for Efficient Reasoning and Coding with LLMs	"Pranjal Aggarwal,Aman Madaan,Yiming Yang,Mausam ."	Long	Oral 	In Person
Session 5	2023-12-09	9:00	9:15	West 3	Human-Centered NLP	1	Human-Centered NLP		85	Modeling Empathic Similarity in Personal Narratives	"Jocelyn J Shen,Maarten Sap,Pedro Colon-Hernandez,Hae Won Park,Cynthia Breazeal"	Long	Oral 	In Person
Session 5	2023-12-09	9:15	9:30	West 3	Human-Centered NLP	2	Human-Centered NLP		1340	A Diachronic Perspective on User Trust in AI under Uncertainty	"Shehzaad Zuzar Dhuliawala,Vilém Zouhar,Mennatallah El-Assady,Mrinmaya Sachan"	Long	Oral 	In Person
Session 5	2023-12-09	9:30	9:45	West 3	Human-Centered NLP	3	Human-Centered NLP		2653	Dr ChatGPT tell me what I want to hear: How different prompts impact health answer correctness	"Bevan Koopman,Guido Zuccon"	Long	Oral 	In Person
Session 5	2023-12-09	9:45	10:00	West 3	Human-Centered NLP	4	Human-Centered NLP		2786	Pre-Trained Language Models Augmented with Synthetic Scanpaths for Natural Language Understanding	"Shuwen Deng,Paul Prasse,David Robert Reich,Tobias Scheffer,Lena Ann Jäger"	Long	Oral 	In Person
Session 5	2023-12-09	10:00	10:15	West 3	Human-Centered NLP	5	Human-Centered NLP		4876	Generating and Evaluating Tests for K-12 Students with Language Model Simulations: A Case Study on Sentence Reading Efficiency	"Eric Zelikman,Wanjing Anya Ma,Jasmine Elizabeth Tran,Diyi Yang,Jason D Yeatman,Nick Haber"	Long	Oral 	In Person
Session 5	2023-12-09	10:15	10:30	West 3	Human-Centered NLP	6	Human-Centered NLP		5606	"""Fifty Shades of Bias"": Normative Ratings of Gender Bias in GPT Generated English Text"	"Rishav Hada,Agrima Seth,Harshita Diddee,Kalika Bali"	Long	Oral 	In Person
Session 6	2023-12-09	11:00	11:15	East	"Interpretability, Interactivity, and Analysis of Models for NLP 2"	1	"Interpretability, Interactivity, and Analysis of Models for NLP 2"		1988	Absolute Position Embedding Learns Sinusoid-like Waves for Attention Based on Relative Position	"Yuji Yamamoto,Takuya Matsuzaki"	Long	Oral 	In Person
Session 6	2023-12-09	11:15	11:30	East	"Interpretability, Interactivity, and Analysis of Models for NLP 2"	2	"Interpretability, Interactivity, and Analysis of Models for NLP 2"		1997	Statistical Depth for Ranking and Characterizing Transformer-Based Text Embeddings	"Parker Seegmiller,Sarah Masud Preum"	Long	Oral 	In Person
Session 6	2023-12-09	11:30	11:45	East	"Interpretability, Interactivity, and Analysis of Models for NLP 2"	3	"Interpretability, Interactivity, and Analysis of Models for NLP 2"		2674	Explaining Interactions Between Text Spans	"Sagnik Ray Choudhury,Pepa Atanasova,Isabelle Augenstein"	Long	Oral 	In Person
Session 6	2023-12-09	11:45	12:00	East	"Interpretability, Interactivity, and Analysis of Models for NLP 2"	4	"Interpretability, Interactivity, and Analysis of Models for NLP 2"		2814	Bridging Information-Theoretic and Geometric Compression in Language Models	"Emily Cheng,Corentin Kervadec,Marco Baroni"	Long	Oral 	In Person
Session 6	2023-12-08	12:00	12:15	East	"Interpretability, Interactivity, and Analysis of Models for NLP 2"	5	"Interpretability, Interactivity, and Analysis of Models for NLP 2"		3289	What Comes Next? Evaluating Uncertainty in Neural Text Generators Against Human Production Variability	"Mario Giulianelli,Joris Baan,Wilker Aziz,Raquel Fernández,Barbara Plank"	Long	Oral 	In Person
Session 6	2023-12-09	12:15	12:30	East	"Interpretability, Interactivity, and Analysis of Models for NLP 2"	6	"Interpretability, Interactivity, and Analysis of Models for NLP 2"		4042	Data Factors for Better Compositional Generalization	"Xiang Zhou,Yichen Jiang,Mohit Bansal"	Long	Oral 	Virtually
Session 6	2023-12-09	11:00	11:15	Central  1	Language Modeling and Analysis of Language Models 2	1	Language Modeling and Analysis of Language Models 2		3146	Inverse Scaling Can Become U-Shaped	"Jason Wei,Najoung Kim,Yi Tay,Quoc V Le"	Long	Oral 	In Person
Session 6	2023-12-09	11:15	11:30	Central  1	Language Modeling and Analysis of Language Models 2	2	Language Modeling and Analysis of Language Models 2		3163	Revisiting Instruction Fine-tuned Model Evaluation to Guide Industrial Applications	"Manuel Faysse,Gautier Viaud,CELINE HUDELOT,Pierre Colombo"	Long	Oral 	In Person
Session 6	2023-12-09	11:30	11:45	Central  1	Language Modeling and Analysis of Language Models 2	3	Language Modeling and Analysis of Language Models 2		5840	FinGPT: Large Generative Models for a Small Language	"Risto Luukkonen,Ville Komulainen,Jouni Luoma,Anni Eskelinen,Jenna Kanerva,Hanna-Mari Kristiina Kupari,Filip Ginter,Veronika Laippala,Niklas Muennighoff,Aleksandra Piktus,Thomas Wang,Nouamane Tazi,Teven Le Scao,Thomas Wolf,Osma Suominen,Samuli Sairanen,Mikko Merioksa,Jyrki Heinonen,Aija Vahtola,Samuel Antao,Sampo Pyysalo"	Long	Oral 	In Person
Session 6	2023-12-09	11:45	12:00	Central  1	Language Modeling and Analysis of Language Models 2	4	Language Modeling and Analysis of Language Models 2		ARR 40	Consistency Analysis of ChatGPT	"Myeongjun Erik Jang,Thomas Lukasiewicz"	Long	Oral 	In Person
Session 6	2023-12-08	12:00	12:15	Central  1	Language Modeling and Analysis of Language Models 2	5	Language Modeling and Analysis of Language Models 2		TACL 4745	How Abstract Is Linguistic Generalization in Large Language Models? Experiments with Argument Structure	"Michael Wilson, Jackson Petty, Robert Frank"	Long	Oral 	Virtually
Session 6	2023-12-09	12:15	12:30	Central  1	Language Modeling and Analysis of Language Models 2	6	Language Modeling and Analysis of Language Models 2		CL 2214	How is a “Kitchen Chair” like a “Farm Horse”? Exploring the Representation of Noun-Noun Compound Semantics in Transformer-based Language Models	"Mark Ormerod, Jesús Martínez del Rincón, Barry Devereux"	Long	Oral 	In Person
Session 6	2023-12-09	11:00	11:15	Central 3	Multilinguality and Linguistic Diversity 2	1	Multilinguality and Linguistic Diversity 2		2438	Multilingual Large Language Models Are Not (Yet) Code-Switchers	"Ruochen Zhang,Samuel Cahyawijaya,Jan Christian Blaise Cruz,Genta Indra Winata,Alham Fikri Aji"	Long	Oral 	In Person
Session 6	2023-12-09	11:15	11:30	Central 3	Multilinguality and Linguistic Diversity 2	2	Multilinguality and Linguistic Diversity 2		2741	Cross-lingual Prompting: Improving Zero-shot Chain-of-Thought Reasoning across Languages	"Libo Qin,Qiguang Chen,Fuxuan Wei,Shijue Huang,Wanxiang Che"	Long	Oral 	Virtually
Session 6	2023-12-09	11:30	11:45	Central 3	Multilinguality and Linguistic Diversity 2	3	Multilinguality and Linguistic Diversity 2		2927	Investigating Bias in Multilingual Language Models: Cross-Lingual Transfer of Debiasing Techniques	"Manon Reusens,Philipp Borchert,Margot Mieskes,Jochen De Weerdt,Bart Baesens"	Long	Oral 	In Person
Session 6	2023-12-09	11:45	12:00	Central 3	Multilinguality and Linguistic Diversity 2	4	Multilinguality and Linguistic Diversity 2		3457	FOCUS: Effective Embedding Initialization for Monolingual Specialization of Multilingual Models	"Konstantin Dobler,Gerard de Melo"	Long	Oral 	In Person
Session 6	2023-12-08	12:00	12:15	Central 3	Multilinguality and Linguistic Diversity 2	5	Multilinguality and Linguistic Diversity 2		4304	GPTAraEval: A Comprehensive Evaluation of ChatGPT on Arabic NLP	"Md Tawkat Islam Khondaker,Abdul Waheed,El Moatez Billah Nagoudi,Muhammad Abdul-Mageed"	Long	Oral 	In Person
Session 6	2023-12-09	12:15	12:30	Central 3	Multilinguality and Linguistic Diversity 2	6	Multilinguality and Linguistic Diversity 2		TACL 5345	Shared Lexical Items as Triggers of Code Switching	"Shuly Wintner, Shuly Wintner, Safaa Shehadi, Yuli Zeira, Doreen Osmelak, Yuval Nov"	Long	Oral 	In Person
Session 6	2023-12-09	11:00	11:15	West 1	Natural Language Generation 2	1	Natural Language Generation 2		1298	MULTITuDE: Large-Scale Multilingual Machine-Generated Text Detection Benchmark	"Dominik Macko,Robert Moro,Adaku Uchendu,Jason S Lucas,Michiharu Yamashita,Matúš Pikuliak,Ivan Srba,Thai Le,Dongwon Lee,Jakub Simko,Maria Bielikova"	Long	Oral 	In Person
Session 6	2023-12-09	11:15	11:30	West 1	Natural Language Generation 2	2	Natural Language Generation 2		1577	Active Learning for Natural Language Generation	"Yotam Perlitz,Ariel Gera,Michal Shmueli-Scheuer,Dafna Sheinwald,Noam Slonim,Liat Ein-Dor"	Long	Oral 	In Person
Session 6	2023-12-09	11:30	11:45	West 1	Natural Language Generation 2	3	Natural Language Generation 2		1983	Interactive Text Generation	"Felix Faltings,Michel Galley,Kianté Brantley,Baolin Peng,Weixin Cai,Yizhe Zhang,Jianfeng Gao,Bill Dolan"	Long	Oral 	Virtually
Session 6	2023-12-09	11:45	12:00	West 1	Natural Language Generation 2	4	Natural Language Generation 2		2729	INSTRUCTSCORE: Towards Explainable Text Generation Evaluation with Automatic Feedback	"Wenda Xu,Danqing Wang,Liangming Pan,Zhenqiao Song,Markus Freitag,William Yang Wang,Lei Li"	Long	Oral 	In Person
Session 6	2023-12-08	12:00	12:15	West 1	Natural Language Generation 2	5	Natural Language Generation 2		4089	Pre-training Language Models for Comparative Reasoning	"Mengxia Yu,Zhihan Zhang,Wenhao Yu,Meng Jiang"	Long	Oral 	In Person
Session 6	2023-12-09	12:15	12:30	West 1	Natural Language Generation 2	6	Natural Language Generation 2		ARR 73	Composable Text Controls in Latent Space with ODEs	"Guangyi Liu,Zeyu Feng,Yuan Gao,Zichao Yang,Xiaodan Liang,Junwei Bao,Xiaodong He,Shuguang Cui,Zhen Li,Zhiting Hu"	Long	Oral 	In Person
Session 6	2023-12-09	11:00	11:15	West 2	Question Answering	1	Question Answering		940	Compressing and Debiasing Vision-Language Pre-Trained Models for Visual Question Answering	"Qingyi Si,Yuanxin Liu,Zheng Lin,Peng Fu,Yanan Cao,Weiping Wang"	Long	Oral 	In Person
Session 6	2023-12-09	11:15	11:30	West 2	Question Answering	2	Question Answering		1157	Merging Generated and Retrieved Knowledge for Open-Domain QA	"Yunxiang Zhang,Muhammad Khalifa,Lajanugen Logeswaran,Moontae Lee,Honglak Lee,Lu Wang"	Long	Oral 	Virtually
Session 6	2023-12-09	11:30	11:45	West 2	Question Answering	3	Question Answering		2978	Diversity Enhanced Narrative Question Generation for Storybooks	"Hokeun Yoon,JinYeong Bak"	Long	Oral 	In Person
Session 6	2023-12-09	11:45	12:00	West 2	Question Answering	4	Question Answering		4458	The Art of SOCRATIC QUESTIONING: Recursive Thinking with Large Language Models	"Jingyuan Qi,Zhiyang Xu,Ying Shen,Minqian Liu,Di Jin,Qifan Wang,Lifu Huang"	Long	Oral 	In Person
Session 6	2023-12-08	12:00	12:15	West 2	Question Answering	5	Question Answering		5481	Once Upon a ${\it Time}$ in ${\it Graph}$: Relative-Time Pretraining for Complex Temporal Reasoning	"Sen Yang,Xin Li,Lidong Bing,Wai Lam"	Long	Oral 	In Person
Session 6	2023-12-09	12:15	12:30	West 2	Question Answering	6	Question Answering		TACL 4251	On the Robustness of Dialogue History Representation in Conversational Question Answering: A Comprehensive Study and a New Prompt-based Method	"Roi Reichart, Zorik Gekhman, Nadav Oved, Orgad Keller, Idan Szpektor"	Long	Oral 	In Person
Session 6	2023-12-09	11:00	11:15	West 3	Resources and Evaluation 1	1	Resources and Evaluation 1		947	HaluEval: A Large-Scale Hallucination Evaluation Benchmark for Large Language Models	"Junyi Li,Xiaoxue Cheng,Xin Zhao,Jian-Yun Nie,Ji-Rong Wen"	Long	Oral 	In Person
Session 6	2023-12-09	11:15	11:30	West 3	Resources and Evaluation 1	2	Resources and Evaluation 1		1637	TRIGO: Benchmarking Formal Mathematical Proof Reduction for Generative Language Models	"Jing Xiong,Jianhao Shen,Ye Yuan,Haiming Wang,Yichun Yin,Zhengying Liu,Lin Li,Zhijiang Guo,Qingxing Cao,Yinya Huang,Chuanyang Zheng,Xiaodan Liang,Ming Zhang,Qun Liu"	Long	Oral 	In Person
Session 6	2023-12-09	11:30	11:45	West 3	Resources and Evaluation 1	3	Resources and Evaluation 1		1940	BanglaAbuseMeme: A Dataset for Bengali Abusive Meme Classification	"Mithun Das,Animesh Mukherjee"	Long	Oral 	In Person
Session 6	2023-12-09	11:45	12:00	West 3	Resources and Evaluation 1	4	Resources and Evaluation 1		3558	IDTraffickers: An Authorship Attribution Dataset to link and connect Potential Human-Trafficking Operations on Text Escort Advertisements	"Vageesh Kumar Saxena,Benjamin Ashpole,Gijs van Dijck,Gerasimos Spanakis"	Long	Oral 	In Person
Session 6	2023-12-08	12:00	12:15	West 3	Resources and Evaluation 1	5	Resources and Evaluation 1		3665	This is not a Dataset: A Large Negation Benchmark to Challenge Large Language Models	"Iker García-Ferrero,Begoña Altuna,Javier Alvez,Itziar Gonzalez-Dios,German Rigau"	Long	Oral 	In Person
Session 6	2023-12-09	12:15	12:30	West 3	Resources and Evaluation 1	6	Resources and Evaluation 1		4017	You Told Me That Joke Twice: A Systematic Investigation of Transferability and Robustness of Humor Detection Models	"Alexander Baranov,Vladimir Kniazhevsky,Pavel Braslavski"	Long	Oral 	In Person
Session 9	2023-12-10	9:00	9:15	East	Semantics 1	1	Semantics 1		99	WiCE: Real-World Entailment for Claims in Wikipedia	"Ryo Kamoi,Tanya Goyal,Juan Diego Rodriguez,Greg Durrett"	Long	Oral 	In Person
Session 9	2023-12-10	9:15	9:30	East	Semantics 1	2	Semantics 1		730	Understanding Computational Models of Semantic Change: New Insights from the Speech Community	"Filip Miletic,Anne PRZEWOZNY,Ludovic Tanguy"	Long	Oral 	In Person
Session 9	2023-12-10	9:30	9:45	East	Semantics 1	3	Semantics 1		1070	What do Deck Chairs and Sun Hats Have in Common? Uncovering Shared Properties in Large Concept Vocabularies	"Amit Gajbhiye,Zied Bouraoui,Na Li,Usashi Chatterjee,Luis Espinosa-Anke,Steven Schockaert"	Long	Oral 	In Person
Session 9	2023-12-10	9:45	10:00	East	Semantics 1	4	Semantics 1		1523	AdaSent: Efficient Domain-Adapted Sentence Embeddings for Few-Shot Classification	"Yongxin Huang,Kexin Wang,Sourav Dutta,Raj Nath Patel,Goran Glavaš,Iryna Gurevych"	Long	Oral 	In Person
Session 9	2023-12-10	10:00	10:15	East	Semantics 1	5	Semantics 1		1619	Ditto: A Simple and Efficient Approach to Improve Sentence Embeddings	"Qian Chen,Wen Wang,Qinglin Zhang,Siqi Zheng,Chong Deng,Hai Yu,Jiaqing Liu,Yukun Ma,Chong Zhang"	Long	Oral 	In Person
Session 9	2023-12-10	10:15	10:30	East	Semantics 1	6	Semantics 1		1655	Connecting degree and polarity: An artificial language learning study	"Lisa Bylinina,Alexey Tikhonov,Ekaterina Garmash"	Long	Oral 	Virtually
Session 9	2023-12-10	9:00	9:15	Central  1	Sentiment/Stylistic Analysis 	1	Sentiment/Stylistic Analysis 		3103	Argument-based Detection and Classification of Fallacies in Political Debates	"Pierpaolo Goffredo,Mariana Chaves Espinoza,Serena Villata,Elena Cabrio"	Long	Oral 	In Person
Session 9	2023-12-10	9:15	9:30	Central  1	Sentiment/Stylistic Analysis 	2	Sentiment/Stylistic Analysis 		3474	Why Should This Article Be Deleted? Transparent Stance Detection in Multilingual Wikipedia Editor Discussions	"Lucie-Aimée Kaffee,Arnav Arora,Isabelle Augenstein"	Long	Oral 	In Person
Session 9	2023-12-10	9:30	9:45	Central  1	Sentiment/Stylistic Analysis 	3	Sentiment/Stylistic Analysis 		4220	Identification of Multimodal Stance Towards Frames of Communication	"Maxwell Weinzierl,Sanda Harabagiu"	Long	Oral 	In Person
Session 9	2023-12-10	9:45	10:00	Central  1	Sentiment/Stylistic Analysis 	4	Sentiment/Stylistic Analysis 		5813	"EXPLAIN, EDIT, GENERATE: Rationale-Sensitive Counterfactual Data Augmentation for Multi-hop Fact Verification"	"Yingjie Zhu,Jiasheng Si,Yibo Zhao,Haiyang Zhu,Deyu Zhou,Yulan He"	Long	Oral 	Virtually
Session 9	2023-12-10	10:00	10:15	Central  1	Sentiment/Stylistic Analysis 	5	Sentiment/Stylistic Analysis 		ARR 35	Joyful: Joint Modality Fusion and Graph Contrastive Learning for Multimodal Emotion Recognition	"Dongyuan Li,Yusong Wang,Kotaro Funakoshi,Manabu Okumura"	Long	Oral 	In Person
Session 9	2023-12-10	10:15	10:30	Central  1	Sentiment/Stylistic Analysis 	6	Sentiment/Stylistic Analysis 		TACL 5067	Can Authorship Representation Learning Capture Stylistic Features?	"Nicholas Oliver Andrews, Andrew Wang, Cristina Aggazzotti, Rebecca Kotula, Rafael Rivera-Soto, Marcus Bishop"	Long	Oral 	In Person
Session 9	2023-12-10	9:00	9:15	Central 3	Speech & Multimodality 1	1	Speech & Multimodality 1		232	A Video Is Worth 4096 Tokens: Verbalize Story Videos To Understand Them In Zero Shot	"Aanisha Bhattacharyya,Yaman K Singla,Balaji Krishnamurthy,Rajiv Ratn Shah,Changyou Chen"	Long	Oral 	In Person
Session 9	2023-12-10	9:15	9:30	Central 3	Speech & Multimodality 1	2	Speech & Multimodality 1		1133	Balance Act: Mitigating Hubness in Cross-Modal Retrieval with Query and Gallery Banks	"Yimu Wang,Xiangru Jian,Bo Xue"	Long	Oral 	In Person
